accelX,accelY,accelZ,gryoX,gyroY,gyroZ
9780,-860,14624,25436,-12772,4781
9116,3636,7376,28071,-13761,7542
14068,9832,3376,14855,-238,8724
14492,15644,864,4648,6908,4766
6440,18416,12040,16218,5325,3432
13360,13976,-7952,13542,15235,17096
31000,11936,-172,461,20466,-990
8612,14552,-10232,10945,26919,-31262
4008,1428,3960,-32768,4745,-32768
-8348,-4172,20236,-32768,-13149,-25611
3184,-1752,22604,-10651,-8683,-2666
16920,-8400,32767,-6482,14294,-10382
22772,-7980,6268,-5093,2357,-2473
4480,-1316,13256,-4536,1769,2326
5708,1012,16268,-1731,-3769,777
5748,4160,25660,3290,-257,1205
6588,388,28852,8000,1,-5635
8452,-4188,29088,23564,-8514,3402
12812,-2808,11392,24650,-17926,5055
7796,1180,8020,18063,-10860,3826
16028,1684,14564,19004,-8277,4650
14600,11068,8380,25345,-8765,44
12432,15124,-9944,15719,-9378,10126
11580,13808,-2624,15268,5339,16808
28212,9992,-2620,13970,23137,9128
32767,2828,3076,14296,14464,-32768
-1936,20316,4464,3963,19858,-31576
-2644,14124,13688,-12012,7689,-19737
-2504,12412,16924,-13989,9577,-15850
2076,2604,20872,-20574,-7438,-1043
-5264,-8072,31976,-32768,-5430,-3759
360,-600,4844,12119,1894,3012
-2616,4248,20316,-3133,-1302,-5434
9544,332,23220,4820,-4546,864
12000,-628,16340,12230,-2630,-2439
1748,18240,11952,7704,6725,9903
5856,16332,7304,5149,-3316,9786
6912,14784,6628,5495,-5152,7556
6680,18664,2860,7849,-6544,5372
10568,17436,8356,13969,-5336,944
9356,18204,3416,14620,-7842,7877
18068,16756,-4248,3178,-7893,5526
13548,17100,-9012,-17451,-10815,-1517
15052,12604,8696,-32109,5962,-7672
12844,9024,8128,-27381,4116,-8133
5244,10652,20776,-27855,10447,-17543
-412,9400,26532,-18268,4403,-4532
-1152,6324,19852,-2972,10958,-11436
1136,4996,21684,4838,1199,1546
1692,8496,22892,10373,-1291,5337
-1148,8120,24800,15542,4806,5529
760,6604,17472,16621,2768,10819
2312,8200,9000,14810,975,14661
4408,12444,6024,14912,192,9033
7712,16668,6740,6512,-2372,13670
5772,15624,11472,9762,-879,8089
14592,15320,2808,11860,-8870,12043
22920,17016,-1056,5477,-7444,7951
19048,16616,-7440,-5493,-5164,-8003
7956,18424,-2388,-23737,-5672,-18212
6660,18728,7844,-27991,-3152,1538
9508,12916,13464,-28345,10250,-2419
-1812,14192,18572,-18237,3934,-9787
-712,13608,30244,-8787,3938,-3912
1296,9476,18264,-1196,940,-2516
4644,9700,18652,764,116,-109
368,17748,28480,5707,3338,-612
4240,10648,27352,11050,5224,822
1900,5040,13808,13082,7136,13802
3972,5540,10080,11238,-4286,5968
6980,12352,7756,11429,-4279,8823
9180,15192,5044,12205,-2358,6325
9952,19236,2368,15685,-1131,9774
10828,18948,1088,12311,-2578,5087
18028,12412,-6960,-4908,-7591,-3546
13324,8516,1000,-28455,-6471,-6104
13924,9784,11768,-29588,-6642,1126
7260,18028,16400,-21075,296,-11451
14888,14476,30620,-25439,12589,-9704
3996,3528,25264,-15599,-2420,26041
11440,4804,20860,2371,-648,7595
8612,11192,26252,4645,6241,-7624
6476,11936,29856,17494,3121,-1698
4152,6520,16312,21221,8848,5421
6260,7796,14348,14099,8564,11430
7412,10068,9172,11544,5015,12067
6636,13284,6116,15071,1050,10838
12420,19000,3048,17492,4922,10690
16976,19228,-9048,18086,-5118,16093
24124,11696,-3724,-10622,-683,-2080
12260,18444,-2140,-17823,-6223,2615
18604,13488,692,-16141,-1033,-19522
12056,9748,-452,-15746,-858,-7031
6528,8816,20332,-32768,8570,-12634
3964,4264,30708,-32768,31872,-7046
-9188,2068,17764,1992,-78,10358
5648,1176,16184,-1514,-3217,8438
5060,7180,25712,6482,-2339,4335
2144,9888,25900,21475,-3661,193
548,8096,18816,28244,-1369,7085
344,7628,11928,23930,7980,15494
3968,10388,3512,17370,3507,14783
8632,15368,1280,13557,5401,11770
11624,18484,1168,11167,10875,11351
15116,18184,2084,1978,4942,6979
18648,14240,364,6645,15888,-10912
8872,13576,-1148,-15622,8437,-21947
396,10884,7408,-18059,-5803,-31779
1100,6448,17020,-26419,-13541,-6153
-7556,6828,13076,-13431,7257,-19854
-8216,-504,16540,-13360,12677,-16680
-9572,824,19724,-1798,19189,-27
-2508,1680,12644,3391,7287,-1433
-8088,5484,14612,8269,2338,6239
-12148,6712,14568,16552,5909,15557
-15096,6784,7392,16204,15111,26537
-8760,7388,-308,5061,11294,28507
-1416,9288,-2084,-6364,10664,27314
5972,14052,-4024,-6380,9247,16368
10376,16744,2968,-10702,5479,11142
14248,15604,7436,-9972,1520,1860
13984,12720,13676,-2536,2503,-9187
9952,11800,3400,16948,4106,-20271
-884,16084,-528,7596,5407,-26152
-12776,15228,-3988,-2975,-9291,-30568
-13760,7212,5684,-569,-14112,-25287
-13716,2044,4508,-4597,6883,-8695
-12328,2820,13224,14239,10762,-5452
-6548,3620,4492,2626,-482,2457
-12184,5916,10328,963,-9374,2735
-16064,6400,13968,15717,-10367,11219
-5880,7548,11504,17020,-8061,15717
