0,0,0,0,0,0
7960,22704,-4096,812,-1188,197
7060,22540,-5040,1334,-836,32
5788,24248,-6260,315,-1127,1365
7860,22168,-9376,-5531,4963,3557
9740,22164,6808,-10564,-5024,-1390
10256,25532,18176,1627,-32768,-2035
8372,27488,5668,-10260,-32768,14429
22268,19284,-15060,7317,-32768,23915
29848,3604,168,-19953,157,-16161
-40,22564,32767,-32768,-2441,2575
11448,14176,-1892,8221,-5183,9293
17456,22348,8188,4278,2774,-6338
14972,22560,11444,13375,30940,-11496
552,19712,-4396,18416,32767,-32602
3144,21232,-3656,-600,32767,-7766
5056,22324,-5208,-6524,32767,-4181
12100,23216,2532,-22294,11691,1957
7892,25188,17180,-4909,12748,3470
8008,23636,3884,-1511,-5023,-2567
9984,25300,13300,7586,-26850,-167
6232,27468,2972,-5733,-32768,12866
19056,16612,-11012,3594,-32768,32767
27108,4960,-26116,-21921,-22954,21897
4756,6552,-456,-32768,12721,-15529
18884,19660,17496,4283,-4980,-1134
27476,16188,7676,-6903,1176,250
20172,20548,6892,3228,8565,-1890
13952,18880,9520,15896,32767,-31774
-10088,18460,-8196,18997,32767,-32768
-312,20508,-6116,-8033,32767,-3019
8840,22888,-148,-16310,14329,-1327
5668,24656,3360,-19960,20318,-6319
7600,25156,16464,-2608,12134,1134
6056,24440,2140,643,-6491,-2179
10320,22848,2876,4189,-15670,-1033
3900,23260,6408,1252,-32768,-4635
19108,21184,-6376,791,-32768,25529
19028,21996,-12888,-6371,-29655,16909
14148,20292,8400,-18477,-4122,-9225
13128,20372,17396,-18567,-3812,1730
14812,20508,5860,2119,-2787,2799
20656,18360,7364,1494,768,189
15292,19952,9528,11122,15581,-11099
1332,14584,3052,15527,32767,-32768
-11904,15340,-12064,-13640,32767,-18628
8512,22192,1180,-23770,32767,1686
9892,24372,16428,-18852,2920,-3535
7696,23360,3496,2587,-2702,4095
9928,22748,3740,1259,-6170,2930
11108,22364,11624,5304,-32768,-2038
9700,26020,960,3866,-32768,14568
14796,21908,-12920,7600,-32768,32218
30736,11396,-15804,-17809,-8631,4405
4832,19196,29236,-32768,2552,-5418
14372,19096,10836,-1476,-2925,1152
18708,21316,7540,3590,2442,628
19416,20276,5792,17307,18354,-19737
1784,17988,1972,8774,32767,-30904
-6836,20720,-336,-18775,32767,-7724
7772,22476,-2004,-15404,32767,-1925
7976,27368,21676,-15915,7820,-794
4628,24916,1268,3577,-1398,1936
10212,23256,4036,211,-4870,314
6416,23664,6392,1761,-32768,-4027
-652,26084,9392,-232,-32768,5319
20324,21940,-10588,8862,-32768,13765
26636,14304,-14176,-10342,-27772,21155
11572,9336,12524,-32768,6637,-6840
13652,27460,16768,3327,-3679,-2931
18976,14576,-188,-3263,2745,2596
12412,22468,7200,14651,16239,-10876
6896,14572,3728,17935,32767,-32768
-10024,18088,-5096,-10451,32767,-10024
6616,21488,2468,-18524,32767,2721
2368,28856,15408,-12028,14636,-202
6088,25284,6244,-4351,288,2154
10420,22940,6792,-2064,-10046,-3192
9964,22612,19272,7189,-32768,-11801
-3132,25308,6392,17278,-32768,8552
9900,23596,-13544,17580,-32768,30733
32767,4740,-7928,-17016,-3758,13492
6324,13256,29916,-32768,8609,-2214
10736,19536,8904,14304,-5131,-2084
22572,21808,8204,-4091,5558,-4397
13048,18948,3668,6638,32277,-26360
-16040,15284,-3444,63,32767,-32768
-3132,16152,4376,-16242,32767,-3975
6064,24588,540,-16525,32767,1867
580,28632,4912,-17462,-4033,-557
11832,21028,1860,-2382,2137,5587
11224,22288,6540,-64,-10850,-786
10020,23284,11528,-2312,-32768,-7451
10512,25524,2788,3510,-32768,16735
15812,19280,-13392,15287,-32768,26070
29616,9736,-880,-19842,-3791,-4225
