accelX,accelY,accelZ,gryoX,gyroY,gyroZ
904,-13152,-7800,3575,-7037,-3512
1084,-20572,-244,2796,-4593,-1393
15816,-18284,2032,-1527,2921,3815
15184,-10956,3524,990,936,-409
16952,-5472,-5668,-1289,5247,-101
11456,-760,-5720,-3788,4605,-699
2900,-888,-5496,-3312,-328,3795
3784,-8160,-1252,-371,-10800,-1842
-364,-16700,-5076,8049,6534,-5334
7196,-13004,2944,2444,239,6500
11704,-9616,592,-318,355,3790
6892,-11052,-4580,1728,4250,-1642
8740,-9220,-3068,-449,2318,-540
9836,-11940,-5188,-1557,1671,144
7192,-15912,-2608,-2210,926,-3881
4932,-9680,-4192,-2817,-866,-4441
792,-8512,-5476,-7879,2013,-8558
22284,4932,-2988,932,-11378,-4219
22304,1372,-3692,3463,-3178,-2071
16620,-15572,-5364,4898,6449,5126
20272,-22428,-6996,-5248,22751,12405
5496,-14208,-4512,-2398,3202,561
-2288,-10868,-7368,-272,-4517,-1600
5124,-5244,-4048,1632,-8601,-3372
13960,708,-5212,4241,-9713,1383
13564,-4904,-4220,-5764,3242,-4229
18144,-8464,696,5813,-6366,-2785
15188,-22116,-4440,9260,9399,-624
7700,-10904,-52,6037,-10004,-2859
11660,-10000,-2448,1419,6352,-724
8588,-10868,-4368,909,5672,721
11232,-10180,-1344,866,-2208,1811
9616,-10008,-2684,1672,-91,2078
8364,-9648,-1820,170,-244,2964
8100,-15000,-636,938,-2379,1216
12484,-18152,-6272,-774,-1880,-4780
12600,-2996,1660,-6503,4365,4238
20252,8692,-932,-2879,10215,8584
11856,-1032,-5712,2378,7463,3542
5532,-8672,-14528,7006,-784,3064
-4608,-24556,-9852,3675,5287,-3470
15224,-14364,6772,-3876,-7781,2640
9848,7912,23384,-2448,-4380,2526
5932,8096,21456,5153,231,-6461
10968,2956,12540,-327,-7196,7108
4864,280,13268,-27470,-32768,32767
17632,-3196,8216,-10786,-32768,22987
17572,-6864,3460,120,-24811,18100
17552,-8124,4528,395,-9534,7850
15268,-7972,3340,997,-1743,1978
15456,-8640,-100,-738,-2508,4609
13916,-9768,3524,-3559,357,14040
15628,-12068,1868,-120,4213,7106
9832,-9528,2108,3665,7248,3033
10372,-10228,-812,2765,-144,2209
9488,-8852,2768,948,638,996
10960,-9696,3412,2300,3252,-586
11244,-13088,3020,1782,6015,-2079
10432,-13484,1044,252,-1139,-3679
12120,-7796,3308,-2873,4494,-6731
7536,-2448,-1580,-3627,-218,-6211
8920,-852,7536,-1349,1969,1008
16276,-4044,5048,2279,470,560
18104,-17728,-964,3397,-5369,9123
9424,-13660,3852,192,3563,-8788
4828,-11456,6484,-1697,590,-5800
12164,-7004,2896,-1541,860,-2265
15624,96,-296,-884,4001,-2430
21996,-1644,272,-1396,3168,-17
7520,-13800,6744,5403,-5643,1688
28396,-10748,6164,-1333,2364,228
15248,-11196,-832,1237,2846,-2705
12668,-7612,4676,-166,1907,-709
14016,-8432,4604,892,-742,1985
16436,-10584,2916,1214,612,-606
17488,-12660,3860,-1283,1474,-2728
15468,-10264,4840,-64,3022,-4621
13616,-7124,2188,1796,-1937,-4274
13584,-4356,3068,-1366,1663,260
17580,-5376,4676,-487,1005,2418
16248,-4536,4892,2497,3469,-3012
17216,-7216,2764,-593,7253,-3338
10492,-13220,936,3497,-9557,5093
15412,-13148,1904,-963,1747,-1651
12456,-13352,3764,-1046,-238,-671
10980,-8544,5056,-1101,2552,-2639
14028,-1660,1856,1669,1179,-3585
19316,-2860,460,-335,1612,994
16308,-10692,8644,-3215,7457,-7577
19616,-8860,5044,-69,277,720
16408,-9476,1716,-1175,-4399,-1555
14656,-7188,4880,879,-2012,-577
16736,-7628,2344,-233,860,817
19328,-6580,568,81,3088,162
15864,-4472,3084,-951,2897,906
13904,-5336,3152,-71,-2246,4823
12372,-8896,7736,2518,-941,6397
12544,-13336,5940,4201,-901,360
12668,-10760,2304,-211,-457,439
19116,-13112,5620,1458,-1659,-1053
16292,-9396,924,-1834,-23,-2865
13752,-1552,2472,-810,-870,-694
14220,-1612,5676,13,-3340,2369
13788,-6704,7216,437,2429,-97
