accelX,accelY,accelZ,gryoX,gyroY,gyroZ
24960,-21320,-312,304,6797,-6892
14076,-15680,6704,1170,-6937,14791
10196,-20404,5788,462,-2587,841
17804,-27412,3968,146,-2354,4538
13312,-14936,-532,1915,1265,18057
14140,-1044,-5180,13856,-3544,27123
11108,2536,-984,17949,5,21115
9496,6836,3140,17756,2673,12365
472,7824,992,9393,2932,8079
-456,9880,4900,2226,-2689,4969
-264,16916,16972,-3181,-1617,-4944
-3256,8096,17452,-5506,-4949,-14696
-1816,-27864,8624,-5140,1006,-12803
4092,-11988,10004,1881,1411,13885
568,5876,14484,5013,739,14021
-1528,24660,16716,3886,4619,-1768
-132,9584,10252,-1799,-2272,-19431
9948,-8912,5724,1935,-3418,-6847
7164,-9924,7508,758,402,12879
9044,-1948,6912,-14506,1051,9816
10828,3220,-1964,-16297,-3951,-1046
2232,2216,-4944,-13142,-10834,-13731
-1028,-16832,5572,-18913,-2682,-19697
5516,-7820,-2176,-2726,-2959,-11428
10656,-10760,504,1266,286,-10496
8904,-15304,-7528,8636,3473,-9071
12336,-13068,568,-2198,-577,115
11552,-3876,3880,-1304,-1441,-904
13312,8608,5080,-1295,-2228,-3366
32767,-32768,-5660,6501,4110,-8440
6744,-19912,2220,11342,-3339,6508
11612,-9444,160,-1639,-2945,9276
10524,3744,416,-6622,-79,939
4520,16892,10128,2896,-1348,1086
4956,17656,12404,579,-1328,1813
5040,18940,12016,3593,-2613,-119
5356,19864,11644,2006,-3,-1198
2896,23108,8132,1291,-6344,-2013
7420,18300,7200,-5058,-4458,-4074
9216,9992,11288,-8586,-11996,-5514
12088,-4828,30008,-626,7482,6128
4632,17468,3716,7381,2186,4120
2196,30096,6708,-5094,-1397,1035
7044,15680,11620,-9858,-16,-4424
4928,5688,15220,-6847,127,-891
6688,5612,11772,-3661,2911,4846
4504,1972,12564,-4969,10764,9452
5820,9000,5956,-12745,8776,10012
4796,7384,13008,-14449,14505,-7477
-3644,492,10660,-11097,4140,-18463
-5316,-4520,14572,-9744,1276,-22477
7096,-4592,9804,-9489,-6632,-19385
4164,-9648,6460,-6695,-6657,-15351
15312,-17408,1416,-5822,-3944,-13251
4136,-22168,2504,1420,4806,-13316
17192,-17384,6200,-2296,-4524,12486
16880,-2592,2348,-2913,-4428,5930
12696,1908,4932,388,2255,-4949
16596,-14312,144,-3004,1147,-8691
4068,-17796,420,9208,5320,-16226
10496,-17576,9736,5117,-2483,15629
10512,-27168,17780,32767,-11956,20978
11412,-8744,16496,32767,-10931,22475
11448,6304,4152,22254,-4603,2152
11872,8592,10028,12236,3122,1
-4088,12376,10348,8594,4370,327
8212,12296,10828,2342,3615,7152
7848,18688,9384,1705,3457,2541
10952,17224,10824,-384,1407,-4451
6048,2692,18036,-9503,2533,-3127
3912,-6928,18960,2169,1725,192
7120,11788,10676,13355,-1997,5122
3168,28008,10224,1424,2976,-696
3544,20144,7840,-3344,-505,-7876
6288,2656,13836,-9242,-3305,-5892
5764,3064,16092,7141,-226,4198
9208,6384,11004,-820,7512,7589
7696,8336,8672,1405,12133,1458
-1024,13000,6096,-3168,-612,-6365
616,13152,5988,-15030,-367,-16431
2152,-796,10688,-29062,-2289,-24726
-104,-9368,14432,-21054,-2712,-27907
19336,-17556,15232,-25141,5283,-10520
14756,-17372,3524,-19822,11997,-3879
2052,-28700,1800,6375,7562,-28507
14048,-19508,-440,-1321,-10389,21606
13820,-3520,1016,-6010,-5086,7799
6948,1552,8148,-1030,3023,-947
10536,-14140,-2248,93,3060,-7316
5580,-17060,-5208,5032,-328,-5376
11032,-14032,1484,-1064,-3460,11679
4080,-15284,2552,26152,-20717,12979
828,-14588,13756,28101,-10327,12429
908,-5060,11844,28869,-5305,14351
8244,2736,6108,29013,-6342,8269
12100,6492,8932,15894,5269,1654
1856,13500,8944,9238,91,1777
5368,19496,8096,7202,1077,-122
4800,19868,7924,-1827,-1300,-903
11784,6800,12632,-4657,-1804,-6556
7696,-2096,20412,2368,3479,-2973
3996,15564,8068,5911,3049,1707
800,27776,5344,602,646,-1306
4156,19076,10296,-1019,-3174,-3986
5880,7924,11432,-9944,-946,-1462
6400,3804,16068,-739,3067,3375
7768,9752,10508,4970,5940,6553
2208,13408,11008,-569,8913,2822
